id,time,latitude,longitude,depth,mag,place
nc75239002,2025-09-18T02:11:53.640Z,39.32,-122.79,7.37,1.46,"17 km SE of Lake Pillsbury, CA"
nc75238997,2025-09-18T02:09:14.200Z,38.80,-122.78,3.74,0.28,"3 km NNW of The Geysers, CA"
nc75238987,2025-09-18T01:52:24.280Z,38.78,-122.77,3.50,1.08,"1 km NW of The Geysers, CA"
ak025bzo4xse,2025-09-18T01:46:30.546Z,60.14,-152.92,121.90,1.50,"69 km WNW of Happy Valley, Alaska"
ci40442282,2025-09-18T01:38:41.900Z,32.53,-115.22,22.55,1.60,"13 km ESE of Puebla, B.C., MX"
ci40442122,2025-09-18T01:24:38.460Z,35.36,-117.79,6.33,1.82,"14 km W of Johannesburg, CA"
pr71495883,2025-09-18T01:23:56.590Z,17.92,-67.02,13.53,2.33,"6 km SSE of La Parguera, Puerto Rico"
ci40441962,2025-09-18T01:11:58.010Z,33.51,-116.51,14.12,0.53,"16 km ESE of Anza, CA"
pr71495868,2025-09-18T01:03:05.610Z,17.92,-67.02,13.47,2.71,"6 km SSE of La Parguera, Puerto Rico"
nn00904538,2025-09-18T00:41:04.071Z,36.77,-116.26,9.70,1.30,"47 km ESE of Beatty, Nevada"
av93775398,2025-09-18T00:34:55.180Z,54.77,-163.91,-2.54,0.47,"33 km WSW of False Pass, Alaska"
ci40441802,2025-09-18T00:34:26.620Z,32.52,-115.22,19.11,3.27,"14 km ESE of Puebla, B.C., MX"
nn00904532,2025-09-18T00:19:41.338Z,36.83,-115.74,4.60,0.20,"30 km NNW of Indian Springs, Nevada"
av93775393,2025-09-18T00:15:39.330Z,60.04,-153.08,-0.95,-1.11,"63 km ENE of Pedro Bay, Alaska"
tx2025sjhhid,2025-09-18T00:14:35.538Z,31.74,-104.11,7.96,1.70,"48 km W of Mentone, Texas"
pr71495858,2025-09-18T00:14:01.750Z,17.88,-66.86,15.28,2.25,"11 km SSE of GuÃ¡nica, Puerto Rico"
us7000qwug,2025-09-18T00:13:43.641Z,41.59,83.70,10.00,4.50,"65 km ESE of Kuqa, China"
av93775373,2025-09-18T00:03:48.170Z,54.71,-164.11,1.92,0.46,"47 km WSW of False Pass, Alaska"
av93775368,2025-09-18T00:02:24.290Z,61.29,-152.25,1.36,-0.65,"64 km WNW of Tyonek, Alaska"
nc75238972,2025-09-18T00:00:05.200Z,36.86,-121.72,0.19,2.28,"2 km SE of Las Lomas, CA"
ci40441658,2025-09-17T23:54:37.580Z,33.48,-116.43,12.68,0.69,"24 km SSW of La Quinta, CA"
ak025bydqf5n,2025-09-17T23:52:33.877Z,64.88,-147.77,0.00,1.20,"2 km NE of College, Alaska"
nc75238967,2025-09-17T23:50:25.960Z,38.80,-122.78,3.23,0.82,"3 km NNW of The Geysers, CA"
nn00904527,2025-09-17T23:41:09.909Z,36.77,-116.25,9.00,-0.20,"47 km ESE of Beatty, Nevada"
tx2025sjfygx,2025-09-17T23:33:49.264Z,31.73,-104.11,8.01,1.60,"48 km W of Mentone, Texas"
nc75238962,2025-09-17T23:28:00.200Z,36.67,-121.35,4.65,1.59,"13 km SSW of Tres Pinos, CA"
nn00904551,2025-09-17T23:24:57.844Z,36.77,-116.26,9.50,-0.40,"47 km ESE of Beatty, Nevada"
tx2025sjfnlv,2025-09-17T23:21:16.619Z,31.57,-104.18,8.00,2.40,"45 km NW of Toyah, Texas"
ak025bydjl0s,2025-09-17T23:20:43.966Z,60.51,-147.55,19.30,1.60,"55 km NNE of Chenega, Alaska"
ak025bydh67r,2025-09-17T23:09:18.954Z,61.49,-149.94,32.90,1.20,"3 km SSE of Big Lake, Alaska"
ak025bydgtiq,2025-09-17T23:07:54.427Z,63.15,-152.21,5.00,1.10,"49 km SSW of Denali National Park, Alaska"
ci40441650,2025-09-17T23:05:17.530Z,33.18,-115.94,6.94,1.44,"14 km S of Salton City, CA"
ak025byd5ktd,2025-09-17T22:55:09.459Z,61.22,-147.59,2.30,1.30,"63 km NW of Tatitlek, Alaska"
nc75238957,2025-09-17T22:51:49.680Z,40.29,-124.52,8.61,2.45,"20 km W of Petrolia, CA"
nc75238952,2025-09-17T22:39:39.430Z,38.11,-121.81,4.95,2.22,"11 km WSW of Rio Vista, CA"
nn00904519,2025-09-17T22:39:33.394Z,36.77,-116.26,9.90,0.80,"47 km ESE of Beatty, Nevada"
av93775278,2025-09-17T22:23:36.930Z,61.47,-151.91,1.07,0.35,"57 km NW of Beluga, Alaska"
tx2025sjdlgm,2025-09-17T22:20:18.114Z,31.73,-104.11,7.88,2.40,"48 km W of Mentone, Texas"
nc75238947,2025-09-17T22:20:15.390Z,39.46,-123.13,5.28,1.39,"16 km WNW of Lake Pillsbury, CA"
tx2025sjdmkb,2025-09-17T22:19:49.345Z,31.73,-104.13,4.46,2.30,"50 km W of Mentone, Texas"
av93775263,2025-09-17T22:13:47.100Z,54.76,-163.95,-1.36,0.20,"36 km WSW of False Pass, Alaska"
ci40441322,2025-09-17T22:00:29.510Z,35.90,-117.68,3.12,0.72,"21 km ESE of Little Lake, CA"
uw62190996,2025-09-17T21:58:35.780Z,48.37,-122.44,15.66,1.15,"4 km ESE of La Conner, Washington"
tx2025sjcsqp,2025-09-17T21:56:54.184Z,31.73,-104.11,7.89,3.60,"48 km W of Mentone, Texas"
uw62190981,2025-09-17T21:36:53.750Z,47.44,-120.70,3.82,0.85,"17 km S of Leavenworth, Washington"
uw62190976,2025-09-17T21:33:40.620Z,49.15,-122.18,-0.80,1.16,"8 km ENE of Mission, Canada"
nc75238942,2025-09-17T21:23:08.470Z,39.85,-123.35,6.03,1.77,"10 km NW of Covelo, CA"
ak025bycd4xe,2025-09-17T21:22:39.866Z,59.88,-152.12,78.30,1.50,"19 km NW of Anchor Point, Alaska"
hv74778277,2025-09-17T21:10:38.220Z,20.14,-155.78,22.56,2.76,"10 km SSE of Kapaau, Hawaii"
av93775178,2025-09-17T21:10:18.100Z,58.13,-155.56,3.52,0.84,"89 km SE of King Salmon, Alaska"
tx2025sjazco,2025-09-17T21:03:58.752Z,32.36,-102.06,6.08,0.80,"35 km NW of Stanton, Texas"
uw62190956,2025-09-17T21:01:21.130Z,45.01,-122.69,-0.47,1.50,"4 km SSW of Scotts Mills, Oregon"
us7000qwst,2025-09-17T20:57:47.900Z,52.65,159.21,62.04,5.40,"60 km SE of Petropavlovsk-Kamchatsky, Russia"
av93775143,2025-09-17T20:56:28.590Z,60.05,-153.08,0.12,-1.26,"63 km ENE of Pedro Bay, Alaska"
nn00904512,2025-09-17T20:56:26.339Z,38.18,-117.87,10.20,0.90,"30 km SE of Mina, Nevada"
mb90112348,2025-09-17T20:55:53.250Z,46.89,-112.53,11.33,1.98,"13 km ESE of Lincoln, Montana"
ci40440842,2025-09-17T20:51:37.020Z,35.05,-118.33,-0.21,1.51,"14 km W of Mojave, CA"
ci40440682,2025-09-17T20:49:17.140Z,34.12,-117.31,11.99,1.10,"2 km SW of San Bernardino, CA"
tx2025sjaine,2025-09-17T20:44:40.489Z,32.36,-102.06,6.57,0.60,"35 km NW of Stanton, Texas"
ci40440522,2025-09-17T20:43:53.970Z,35.92,-117.77,1.91,1.28,"13 km E of Little Lake, CA"
ci40440362,2025-09-17T20:38:24.040Z,33.98,-116.72,14.15,0.87,"10 km NE of Cabazon, CA"
ak025bybuffj,2025-09-17T20:35:11.354Z,57.44,-154.80,26.20,1.50,"24 km SW of Karluk, Alaska"
nn00904507,2025-09-17T20:13:20.699Z,36.77,-116.26,9.80,-0.10,"47 km ESE of Beatty, Nevada"
tx2025sizaye,2025-09-17T20:12:54.117Z,32.36,-102.06,7.84,0.70,"35 km NW of Stanton, Texas"
tx2025sizguc,2025-09-17T20:12:29.721Z,32.36,-102.05,5.79,0.80,"35 km NW of Stanton, Texas"
ci40439882,2025-09-17T20:07:01.750Z,33.46,-116.27,26.05,1.59,"16 km W of Oasis, CA"
tx2025sizayh,2025-09-17T20:05:43.039Z,32.36,-102.06,5.84,0.80,"36 km NW of Stanton, Texas"
nc75238907,2025-09-17T20:04:51.640Z,40.27,-124.78,6.94,2.41,"43 km W of Petrolia, CA"
ci40439722,2025-09-17T20:03:39.960Z,33.26,-116.41,4.68,0.92,"4 km WNW of Borrego Springs, CA"
av93775078,2025-09-17T20:02:26.550Z,51.96,178.47,4.08,0.39,"Rat Islands, Aleutian Islands, Alaska"
nc75238902,2025-09-17T19:58:55.040Z,38.82,-122.84,2.18,0.74,"9 km NW of The Geysers, CA"
ci40439570,2025-09-17T19:56:15.940Z,34.12,-118.50,7.91,1.81,"4 km S of Encino, CA"
nc75238897,2025-09-17T19:51:40.060Z,38.81,-122.78,2.01,1.38,"4 km NNW of The Geysers, CA"
hv74778197,2025-09-17T19:46:11.900Z,19.19,-155.49,32.30,1.87,"1 km SW of PÄhala, Hawaii"
av93775048,2025-09-17T19:40:43.130Z,56.88,-158.17,2.59,0.80,"66 km NNE of Chignik, Alaska"
tx2025sixzsr,2025-09-17T19:34:35.662Z,32.75,-100.66,7.64,1.60,"15 km NE of Hermleigh, Texas"
tx2025siyaco,2025-09-17T19:34:15.843Z,32.75,-100.66,6.52,1.20,"15 km NE of Hermleigh, Texas"
av93775038,2025-09-17T19:33:57.350Z,54.75,-163.98,-0.82,0.28,"37 km WSW of False Pass, Alaska"
tx2025sixvst,2025-09-17T19:29:41.072Z,32.36,-102.06,6.93,1.70,"36 km NW of Stanton, Texas"
ak025byb7rci,2025-09-17T19:29:34.749Z,62.16,-152.06,108.10,2.70,"39 km WNW of Skwentna, Alaska"
ak025byb754d,2025-09-17T19:26:46.859Z,60.15,-152.57,88.20,1.00,"51 km WNW of Ninilchik, Alaska"
tx2025sixtch,2025-09-17T19:26:26.022Z,32.75,-100.66,7.93,1.60,"15 km NE of Hermleigh, Texas"
av93774998,2025-09-17T19:24:28.980Z,60.07,-153.04,4.96,-0.60,"67 km ENE of Pedro Bay, Alaska"
ok2025sgrn,2025-09-17T19:22:21.079Z,35.34,-97.94,7.23,1.78,"2 km NNE of Minco, Oklahoma"
nc75238887,2025-09-17T19:21:17.620Z,36.05,-120.61,3.07,1.76,"23 km NNW of Parkfield, CA"
nc75238877,2025-09-17T19:17:35.140Z,38.79,-122.76,0.83,1.12,"2 km NNE of The Geysers, CA"
uw62190901,2025-09-17T19:15:39.110Z,45.14,-123.14,-0.26,1.33,"6 km ENE of Amity, Oregon"
nn00904503,2025-09-17T19:15:34.303Z,38.70,-117.12,16.00,1.50,"56 km S of Kingston, Nevada"
av93774978,2025-09-17T19:11:20.380Z,54.72,-163.95,5.82,0.22,"37 km WSW of False Pass, Alaska"
mb90112313,2025-09-17T19:10:19.090Z,44.42,-115.19,6.77,2.01,"30 km NW of Stanley, Idaho"
uw62190891,2025-09-17T19:04:29.160Z,47.61,-121.63,14.05,0.72,"16 km NNE of Tanner, Washington"
av93774963,2025-09-17T18:52:03.780Z,54.73,-163.88,13.18,1.09,"33 km WSW of False Pass, Alaska"
mb90112303,2025-09-17T18:35:43.800Z,43.68,-110.37,3.36,0.78,"21 km ENE of Kelly, Wyoming"
ak025byampky,2025-09-17T18:31:14.260Z,60.49,-142.98,6.90,2.70,"105 km S of McCarthy, Alaska"
mb90112308,2025-09-17T18:25:41.680Z,43.52,-110.82,2.12,0.16,"2 km ESE of Moose Wilson Road, Wyoming"
nn00904506,2025-09-17T18:18:07.010Z,36.77,-116.26,9.80,1.00,"47 km ESE of Beatty, Nevada"
av93774908,2025-09-17T18:16:46.110Z,54.76,-163.97,-2.98,0.25,"37 km WSW of False Pass, Alaska"
nc75238862,2025-09-17T18:12:24.870Z,38.81,-122.79,2.96,1.38,"5 km NNW of The Geysers, CA"
nn00904495,2025-09-17T18:01:34.480Z,41.18,-116.77,4.90,2.90,"52 km NE of Valmy, Nevada"
ak025bya74t3,2025-09-17T17:58:46.639Z,63.20,-149.39,89.20,1.40,"30 km SW of Cantwell, Alaska"
tx2025siuvod,2025-09-17T17:58:45.577Z,32.36,-102.06,6.47,1.60,"36 km NW of Stanton, Texas"
tx2025siuoby,2025-09-17T17:50:14.360Z,29.00,-97.94,7.91,1.30,"8 km E of Falls City, Texas"
ci41293184,2025-09-17T17:44:13.820Z,36.26,-117.90,2.72,1.45,"10 km ESE of Olancha, CA"
av93774823,2025-09-17T17:43:08.030Z,58.17,-155.35,0.79,-0.70,"85 km NW of Karluk, Alaska"
av93774828,2025-09-17T17:41:57.350Z,54.73,-163.99,1.35,0.47,"39 km WSW of False Pass, Alaska"
ci41293176,2025-09-17T17:38:19.250Z,35.83,-118.12,9.77,1.76,"23 km WSW of Little Lake, CA"
uw62190846,2025-09-17T17:37:30.400Z,46.32,-122.40,16.73,0.93,"24 km SSE of Mossyrock, Washington"
ak025bya26st,2025-09-17T17:35:39.650Z,63.10,-150.52,28.60,1.40,"68 km N of Petersville, Alaska"
ok2025sgny,2025-09-17T17:30:08.199Z,35.33,-97.95,7.38,1.12,"2 km N of Minco, Oklahoma"
ak025bya022u,2025-09-17T17:28:43.015Z,56.78,-153.21,114.30,2.50,"46 km S of Old Harbor, Alaska"
av93774788,2025-09-17T17:24:44.590Z,58.29,-154.58,4.02,0.75,"80 km N of Karluk, Alaska"
ci41293168,2025-09-17T17:22:53.390Z,33.47,-116.57,10.62,0.62,"13 km SE of Anza, CA"
ak025by9z5l9,2025-09-17T17:21:24.296Z,59.81,-151.35,50.00,1.40,"9 km NNW of Fritz Creek, Alaska"
uw62190826,2025-09-17T17:07:52.450Z,46.93,-123.08,-0.21,1.22,"12 km N of Rochester, Washington"
ci41293152,2025-09-17T17:04:54.310Z,33.38,-116.90,14.65,0.46,"4 km NW of Palomar Observatory, CA"
av93774753,2025-09-17T17:04:01.130Z,51.99,178.40,2.58,0.22,"Rat Islands, Aleutian Islands, Alaska"
av93774748,2025-09-17T16:56:09.670Z,60.50,-152.74,1.14,-0.83,"77 km NW of Ninilchik, Alaska"
nn00904492,2025-09-17T16:49:31.850Z,36.77,-116.26,10.30,-0.10,"47 km ESE of Beatty, Nevada"
us7000qwr9,2025-09-17T16:45:05.856Z,54.48,161.24,50.62,4.50,"162 km SE of Atlasovo, Russia"
ci41293136,2025-09-17T16:43:01.740Z,33.18,-116.51,14.43,1.40,"14 km NE of Julian, CA"
av93774723,2025-09-17T16:42:34.280Z,58.11,-155.22,3.96,0.18,"75 km NW of Karluk, Alaska"
us7000qwr8,2025-09-17T16:35:04.240Z,51.26,156.98,119.39,4.40,"42 km SE of Ozernovskiy, Russia"
ok2025sglu,2025-09-17T16:25:02.140Z,35.34,-97.95,10.62,0.88,"2 km N of Minco, Oklahoma"
ok2025sglq,2025-09-17T16:20:31.730Z,35.61,-98.05,6.41,1.86,"6 km E of Calumet, Oklahoma"
nn00904543,2025-09-17T16:18:03.618Z,36.64,-116.28,6.30,-0.40,"52 km SE of Beatty, Nevada"
uu80117561,2025-09-17T16:17:15.440Z,37.34,-112.70,1.59,1.16,"8 km NW of Orderville, Utah"
av93774678,2025-09-17T16:15:10.200Z,54.73,-163.97,1.08,0.41,"38 km WSW of False Pass, Alaska"
nc75238817,2025-09-17T16:12:23.070Z,39.85,-123.36,5.96,2.02,"12 km NW of Covelo, CA"
ak025by9apec,2025-09-17T16:07:17.001Z,59.74,-153.61,130.20,1.90,"28 km E of Pedro Bay, Alaska"
nc75238807,2025-09-17T16:04:36.780Z,39.85,-123.35,5.58,1.76,"10 km NW of Covelo, CA"
ci41293112,2025-09-17T16:00:33.130Z,33.71,-116.84,14.07,1.75,"6 km SE of Valle Vista, CA"
av93774643,2025-09-17T16:00:19.880Z,54.76,-163.97,-0.63,0.30,"37 km WSW of False Pass, Alaska"
ok2025sgku,2025-09-17T15:54:41.020Z,36.02,-96.53,0.00,1.48,"7 km ENE of Drumright, Oklahoma"
ci41293096,2025-09-17T15:54:14.330Z,33.72,-116.83,14.93,0.47,"7 km ESE of Valle Vista, CA"
us7000qwpe,2025-09-17T15:52:49.404Z,-7.69,129.08,73.79,4.40,"246 km ENE of Lospalos, Timor Leste"
av93774598,2025-09-17T15:43:00.190Z,58.17,-155.36,0.57,-0.61,"85 km NW of Karluk, Alaska"
ak025by8vis4,2025-09-17T15:36:32.842Z,62.78,-149.48,63.50,1.30,"48 km NE of Chase, Alaska"
ci41293088,2025-09-17T15:33:37.480Z,35.99,-117.88,3.15,0.42,"7 km NNE of Little Lake, CA"
av93774583,2025-09-17T15:32:50.540Z,60.05,-153.08,-2.75,-0.88,"64 km ENE of Pedro Bay, Alaska"
us7000qwph,2025-09-17T15:31:12.304Z,-6.39,148.84,55.14,4.20,"80 km WSW of Kandrian, Papua New Guinea"
ci41293080,2025-09-17T15:25:24.510Z,32.40,-115.26,5.69,1.81,"8 km NW of Delta, B.C., MX"
ci41293072,2025-09-17T15:20:53.670Z,33.98,-116.67,16.04,1.60,"11 km SW of Morongo Valley, CA"
av93774558,2025-09-17T15:18:06.280Z,61.17,-152.45,3.76,-0.38,"71 km W of Tyonek, Alaska"
av93774543,2025-09-17T15:06:23.290Z,54.73,-164.05,7.58,0.33,"43 km WSW of False Pass, Alaska"
nn00904484,2025-09-17T14:57:37.100Z,41.17,-116.75,7.10,3.70,"52 km NE of Valmy, Nevada"
ak025by8ef3n,2025-09-17T14:56:53.635Z,60.65,-151.66,81.90,1.20,"19 km W of Salamatof, Alaska"
nc75238792,2025-09-17T14:52:43.120Z,38.81,-122.87,12.06,0.77,"10 km WNW of The Geysers, CA"
us7000qwp2,2025-09-17T14:46:40.685Z,53.07,161.50,10.00,5.00,"192 km E of Petropavlovsk-Kamchatsky, Russia"
ak025by89heo,2025-09-17T14:33:50.720Z,59.97,-151.33,50.80,1.20,"20 km ESE of Ninilchik, Alaska"
nc75238782,2025-09-17T14:28:10.920Z,38.77,-122.70,1.90,1.18,"1 km WSW of Anderson Springs, CA"
mb90112238,2025-09-17T14:24:36.130Z,47.64,-113.76,11.19,-0.40,"12 km NNW of Condon, Montana"
nn00904479,2025-09-17T14:14:28.739Z,41.20,-116.79,1.50,3.30,"53 km NNE of Valmy, Nevada"
uw62190746,2025-09-17T14:11:28.020Z,46.15,-122.19,7.30,0.06,"32 km NE of Amboy, Washington"
nc75238777,2025-09-17T13:58:57.740Z,37.12,-121.53,1.51,1.55,"8 km ENE of San Martin, CA"
ci41293048,2025-09-17T13:56:32.350Z,36.08,-117.63,2.90,0.62,"29 km E of Coso Junction, CA"
nc75238772,2025-09-17T13:49:08.250Z,37.12,-121.52,3.69,1.18,"9 km ENE of San Martin, CA"
mb90112258,2025-09-17T13:46:04.820Z,44.77,-114.40,5.01,0.82,"32 km NNW of Challis, Idaho"
ci41293032,2025-09-17T13:42:56.870Z,33.51,-116.50,14.16,0.54,"17 km ESE of Anza, CA"
ak025by7pzfn,2025-09-17T13:42:53.153Z,61.76,-149.39,39.50,1.20,"8 km WNW of Fishhook, Alaska"
nc75238767,2025-09-17T13:40:14.240Z,40.30,-124.04,30.81,1.91,"21 km ESE of Petrolia, CA"
tx2025simasb,2025-09-17T13:33:12.430Z,32.11,-102.17,6.76,1.00,"15 km NNW of Midland, Texas"
tx2025silyvq,2025-09-17T13:31:02.102Z,32.75,-100.66,7.54,1.10,"15 km NE of Hermleigh, Texas"
nc75238762,2025-09-17T13:29:35.650Z,37.44,-118.85,1.23,1.44,"20 km WSW of Toms Place, CA"
av93774358,2025-09-17T13:26:07.210Z,54.78,-164.01,3.33,0.83,"39 km WSW of False Pass, Alaska"
tx2025silswl,2025-09-17T13:24:06.541Z,32.75,-100.66,6.62,1.20,"15 km NE of Hermleigh, Texas"
nn00904541,2025-09-17T13:23:08.422Z,36.70,-116.12,4.50,-0.50,"42 km WNW of Indian Springs, Nevada"
ak025by7kjdb,2025-09-17T13:17:12.158Z,57.07,-155.03,84.00,1.80,"54 km WNW of Akhiok, Alaska"
av93774318,2025-09-17T13:09:23.110Z,54.75,-163.97,6.04,0.62,"37 km WSW of False Pass, Alaska"
ak025by7hifm,2025-09-17T13:03:00.341Z,62.98,-151.64,8.50,1.20,"62 km S of Denali National Park, Alaska"
us7000qwny,2025-09-17T13:00:28.980Z,29.64,129.59,10.00,4.90,"106 km SW of Kurio, Japan"
av93774298,2025-09-17T12:59:01.600Z,59.35,-153.44,-0.34,-0.65,"60 km SE of Pedro Bay, Alaska"
us7000qwnu,2025-09-17T12:55:03.382Z,29.58,129.69,10.78,4.90,"104 km SW of Kurio, Japan"
av93774278,2025-09-17T12:50:38.540Z,61.30,-152.37,1.86,-0.46,"71 km WNW of Tyonek, Alaska"
ak025by74i31,2025-09-17T12:42:30.538Z,61.31,-153.69,0.00,1.30,"93 km E of Lime Village, Alaska"
av93774253,2025-09-17T12:40:19.410Z,54.74,-164.03,8.04,0.54,"41 km WSW of False Pass, Alaska"
hv74777987,2025-09-17T12:31:22.720Z,19.20,-155.48,30.33,1.94,"0 km SW of PÄhala, Hawaii"
av93774223,2025-09-17T12:29:28.730Z,54.73,-164.01,10.08,0.41,"40 km WSW of False Pass, Alaska"
av93774213,2025-09-17T12:24:13.280Z,54.75,-163.98,-0.65,0.73,"38 km WSW of False Pass, Alaska"
ci41292968,2025-09-17T12:22:39.950Z,33.62,-116.80,11.98,0.68,"14 km WNW of Anza, CA"
mb90112233,2025-09-17T12:18:23.920Z,47.89,-114.28,7.87,0.04,"2 km N of Dayton, Montana"
ci41292960,2025-09-17T12:18:23.000Z,35.22,-118.48,7.75,1.00,"11 km NNW of Tehachapi, CA"
mb90112228,2025-09-17T12:14:33.530Z,47.90,-114.30,10.57,0.18,"4 km NNW of Dayton, Montana"
ci41292944,2025-09-17T12:13:35.760Z,33.80,-117.72,9.35,1.91,"8 km ENE of North Tustin, CA"
av93774188,2025-09-17T12:12:48.650Z,60.03,-153.08,-1.20,0.64,"63 km ENE of Pedro Bay, Alaska"
nc75238752,2025-09-17T12:03:00.840Z,38.83,-122.82,1.67,0.74,"8 km NNW of The Geysers, CA"
us7000qwnk,2025-09-17T12:02:38.796Z,-19.31,168.54,31.37,5.10,"82 km WNW of Isangel, Vanuatu"
av93774153,2025-09-17T11:58:21.120Z,60.07,-153.02,0.56,-0.01,"68 km ENE of Pedro Bay, Alaska"
uw62190711,2025-09-17T11:44:42.800Z,46.21,-122.17,7.27,-0.07,"39 km SSE of Morton, Washington"
ak025by6jhd4,2025-09-17T11:44:23.447Z,66.96,-154.77,0.00,2.40,"92 km E of Kobuk, Alaska"
ci41292936,2025-09-17T11:43:47.530Z,35.67,-117.53,8.47,0.94,"14 km ENE of Ridgecrest, CA"
hv74777942,2025-09-17T11:40:56.630Z,19.20,-155.48,29.95,2.50,"0 km WSW of PÄhala, Hawaii"
ci41292928,2025-09-17T11:36:11.120Z,33.70,-116.80,16.09,0.81,"9 km WSW of Idyllwild, CA"
av93774098,2025-09-17T11:32:42.380Z,54.77,-163.97,0.24,0.67,"37 km WSW of False Pass, Alaska"
ci41292920,2025-09-17T11:31:27.200Z,33.29,-116.30,7.70,0.50,"8 km ENE of Borrego Springs, CA"
av93774093,2025-09-17T11:26:27.310Z,55.43,-161.92,15.00,0.25,"48 km NNE of King Cove, Alaska"
av93774068,2025-09-17T11:19:56.640Z,54.74,-164.00,2.56,0.39,"39 km WSW of False Pass, Alaska"
tx2025sihpar,2025-09-17T11:18:57.017Z,32.14,-101.96,8.45,1.10,"16 km W of Stanton, Texas"
tx2025sihkde,2025-09-17T11:13:16.671Z,32.13,-102.21,7.06,1.40,"18 km NW of Midland, Texas"
tx2025sihirg,2025-09-17T11:11:37.338Z,32.14,-101.97,8.67,1.00,"16 km W of Stanton, Texas"
nc75238742,2025-09-17T11:09:34.490Z,39.85,-123.35,5.36,1.56,"10 km NW of Covelo, CA"
nc75238737,2025-09-17T11:06:15.410Z,39.47,-123.59,2.08,2.06,"18 km WNW of Brooktrails, CA"
uu80004863,2025-09-17T11:03:11.370Z,36.77,-112.91,17.04,1.33,"19 km S of Cane Beds, Arizona"
tx2025sigubq,2025-09-17T10:54:38.847Z,31.63,-104.29,7.13,0.90,"58 km NW of Toyah, Texas"
